wavelength,gain_port_1,gain_port_2,gain_port_3,gain_port_4,gain_port_5,gain_port_6,gain_port_7,gain_port_8
1546.847292072484,-18.195443793691656,-14.034484188352218,-17.052377171847898,-6.185044355894043,-13.166699096389467,-15.739988374140113,-15.640192127786507,-4.198592094670651
1546.8123179090705,-18.06356640377501,-14.064248503971182,-16.841070011022165,-5.757881091870962,-13.052865344754132,-15.775320210797737,-15.747770900424708,-4.507247933499972
1546.7773453271504,-17.971949555568244,-14.132972098088155,-16.65665914278491,-5.356953144114294,-12.965212926145371,-15.837497419974678,-15.8743287054188,-4.835627637585965
1546.7423743266168,-17.92040533438318,-14.240531634779451,-16.49737949887352,-4.98081668994924,-12.904467437506009,-15.927287419564564,-16.02124204168295,-5.184720299729363
1546.707404907362,-17.90912518471763,-14.387180968673807,-16.361609008427052,-4.628225554344973,-12.871436816255597,-16.04554050869471,-16.189947107792033,-5.555624001678173
1546.6724370692787,-17.938660702358366,-14.573532079415497,-16.24780922819046,-4.298077975315497,-12.86702589771247,-16.193204451539103,-16.381948090034996,-5.949549671569172
1546.63747081226,-18.009923158857617,-14.800554729021883,-16.154476099776655,-3.9893736619263716,-12.892249865578469,-16.371337952913724,-16.598827162107355,-6.367826785729798
1546.6025061361986,-18.12420498121674,-15.069598065785918,-16.08010148444541,-3.701181608213577,-12.94824760371694,-16.58112403368936,-16.842256488064493,-6.8119112784613876
1546.5675430409872,-18.28322716609993,-15.382438154798164,-16.023145869293845,-3.432618797450387,-13.036295202435458,-16.823883558984715,-17.114011924651006,-7.283395402248861
1546.5325815265187,-18.48921760196671,-15.741356409120954,-15.982022119849898,-3.1828393271917683,-13.157818864923708,-17.101088164439517,-17.415987235472127,-7.784018377196809
1546.4976215926856,-18.74502695020754,-16.149255573331665,-15.955089524104945,-2.951032759693692,-13.31440508319773,-17.41437044957761,-17.750206348983593,-8.315675373015544
1546.462663239381,-19.054291743114895,-16.609822917817667,-15.94065678224136,-2.736429810281797,-13.507803976168644,-17.765527330401348,-18.11882928924213,-8.880420452662806
1546.4277064664977,-19.421659674027126,-17.127755619673465,-15.936992170818844,-2.5383129624919283,-13.739918664100001,-18.15650942497954,-18.524144447037074,-9.480456137638352
