;thickness(m) = 2.2e-07
mode 0 = TE
mode 1 = TM
;wavelength(m), width(m), curvature(1/m), temperature(K), mode number, neff, ng, loss (dB/m), dispersion(s/m^2)
1.285e-06, 2e-06, 100000, 250, 0, 2.6865, 4.17345, 103.428, -0.000329557
1.31e-06, 2e-06, 100000, 250, 0, 2.65758, 4.17245, 105.096, 5.49123e-05
1.335e-06, 2e-06, 100000, 250, 0, 2.62866, 4.17416, 106.765, 0.00039653
1.36e-06, 2e-06, 100000, 250, 0, 2.74348, 4.015, 108.433, -0.00179927
1.53e-06, 3.5e-07, 133333, 250, 0, 2.07312, 4.40858, 152.546, -0.00439359
1.53875e-06, 3.5e-07, 133333, 250, 0, 2.0598, 4.39659, 153.289, -0.00475279
1.5475e-06, 3.5e-07, 133333, 250, 0, 2.04654, 4.38363, 154.033, -0.00512707
1.55625e-06, 3.5e-07, 133333, 250, 0, 2.03337, 4.36967, 154.776, -0.00551607
1.565e-06, 3.5e-07, 133333, 250, 0, 2.02027, 4.35467, 155.52, -0.00591934
1.26e-06, 3.5e-07, 133333, 250, 0, 2.49987, 4.5151, 129.6, -0.000312111
1.285e-06, 3.5e-07, 133333, 250, 0, 2.4599, 4.5132, 131.725, -0.000206812
1.31e-06, 3.5e-07, 133333, 250, 0, 2.41997, 4.51177, 133.849, -0.000186055
1.335e-06, 3.5e-07, 133333, 250, 0, 2.38006, 4.51017, 135.974, -0.000252402
1.36e-06, 3.5e-07, 133333, 250, 0, 2.34019, 4.50774, 138.098, -0.000410153
1.53e-06, 4e-07, 133333, 250, 0, 2.24683, 4.36814, 151.621, -0.000772959
1.53875e-06, 4e-07, 133333, 250, 0, 2.23471, 4.36595, 152.36, -0.00089341
1.5475e-06, 4e-07, 133333, 250, 0, 2.22259, 4.36344, 153.099, -0.00102282
1.55625e-06, 4e-07, 133333, 250, 0, 2.2105, 4.36057, 153.838, -0.00116138
1.565e-06, 4e-07, 133333, 250, 0, 2.19842, 4.35733, 154.577, -0.0013093
1.26e-06, 4e-07, 133333, 250, 0, 2.62255, 4.38141, 128.815, -0.000593597
1.285e-06, 4e-07, 133333, 250, 0, 2.58769, 4.37788, 130.926, -0.000355472
1.31e-06, 4e-07, 133333, 250, 0, 2.55288, 4.37593, 133.038, -0.000169833
1.335e-06, 4e-07, 133333, 250, 0, 2.5181, 4.37519, 135.15, -3.42014e-05
1.36e-06, 4e-07, 133333, 250, 0, 2.48332, 4.37528, 137.261, 5.2499e-05
1.53e-06, 4.5e-07, 133333, 250, 0, 2.36722, 4.27062, 150.697, 3.49153e-05
1.53875e-06, 4.5e-07, 133333, 250, 0, 2.35633, 4.27067, 151.431, 3.21712e-06
1.5475e-06, 4.5e-07, 133333, 250, 0, 2.34545, 4.27063, 152.166, -3.31269e-05
1.55625e-06, 4.5e-07, 133333, 250, 0, 2.33456, 4.27048, 152.9, -7.42209e-05
1.565e-06, 4.5e-07, 133333, 250, 0, 2.32368, 4.27023, 153.635, -0.000120175
1.26e-06, 4.5e-07, 133333, 250, 0, 2.70312, 4.28406, 128.029, -0.00101843
1.285e-06, 4.5e-07, 133333, 250, 0, 2.67182, 4.27747, 130.128, -0.000746892
1.31e-06, 4.5e-07, 133333, 250, 0, 2.64063, 4.27275, 132.227, -0.000517613
1.335e-06, 4.5e-07, 133333, 250, 0, 2.60951, 4.2696, 134.326, -0.000326391
1.36e-06, 4.5e-07, 133333, 250, 0, 2.57844, 4.26775, 136.424, -0.00017023
1.53e-06, 5e-07, 133333, 250, 0, 2.45855, 4.17999, 149.772, 8.1543e-05
1.53875e-06, 5e-07, 133333, 250, 0, 2.44871, 4.18021, 150.502, 8.39565e-05
1.5475e-06, 5e-07, 133333, 250, 0, 2.43886, 4.18042, 151.232, 8.36502e-05
1.55625e-06, 5e-07, 133333, 250, 0, 2.42901, 4.18064, 151.962, 8.05919e-05
1.565e-06, 5e-07, 133333, 250, 0, 2.41916, 4.18084, 152.692, 7.47345e-05
1.26e-06, 5e-07, 133333, 250, 0, 2.76374, 4.21346, 127.244, -0.00140563
1.285e-06, 5e-07, 133333, 250, 0, 2.73507, 4.204, 129.33, -0.00112571
1.31e-06, 5e-07, 133333, 250, 0, 2.70657, 4.19648, 131.416, -0.000884108
1.335e-06, 5e-07, 133333, 250, 0, 2.67819, 4.19065, 133.502, -0.000675964
1.36e-06, 5e-07, 133333, 250, 0, 2.64991, 4.18626, 135.587, -0.000497503
1.53e-06, 5.5e-07, 133333, 250, 0, 2.52406, 4.10744, 148.847, -7.34441e-05
1.53875e-06, 5.5e-07, 133333, 250, 0, 2.515, 4.10727, 149.573, -5.74983e-05
1.5475e-06, 5.5e-07, 133333, 250, 0, 2.50595, 4.10714, 150.299, -4.34479e-05
1.55625e-06, 5.5e-07, 133333, 250, 0, 2.4969, 4.10704, 151.024, -3.1279e-05
1.565e-06, 5.5e-07, 133333, 250, 0, 2.48784, 4.10697, 151.75, -2.10106e-05
1.26e-06, 5.5e-07, 133333, 250, 0, 2.80673, 4.16236, 126.458, -0.00171545
1.285e-06, 5.5e-07, 133333, 250, 0, 2.77995, 4.15058, 128.531, -0.00143459
1.31e-06, 5.5e-07, 133333, 250, 0, 2.75338, 4.14076, 130.604, -0.00119041
1.335e-06, 5.5e-07, 133333, 250, 0, 2.72698, 4.13264, 132.677, -0.000977749
