.HEADER
..NAMES
wavelength,transmission,transmission,angle,group delay,group velocity,dispersion,loss,gain
..UNITS
m,TE transmission,TE transmission,TE angle (rad),TE group delay (s),TE group velocity (m/s),TE dispersion (s/m),TE loss (dB),TE gain (dB)
..DATATYPES
double,complex,complex,double,double,double,double,double,double
..WAVEFORM_TYPES
,analog,analog,analog,analog,analog,analog,analog,analog
..AXIS_SPACING
linear
..FOLDER_NAME
input_1_mode_1
.DATA
1.500127766256032e-06,-0.001314567716864804,-0.001854929543116347,2027.281524317647,2.534358071361217e-11,39457723488.25574,0.0002229665918584671,52.86605911891889,-52.86605911891889
1.500146895563155e-06,-0.001953858244111413,-0.001193716123748018,2026.875696052333,2.53479836668263e-11,39450869668.53033,0.0002373691044474873,52.80459885638311,-52.80459885638311
1.50016602535815e-06,-0.002278740337732778,-0.0003270143980078236,2026.469795081606,2.535367483897432e-11,39442014080.84538,0.0003576354400500317,52.75757241017716,-52.75757241017716
1.500185155641035e-06,-0.002230859576706328,0.0006017700474458341,2026.063784565472,2.536222138182793e-11,39428722939.72252,0.0005358715889653682,52.72551333934227,-52.72551333934227
1.50020428641183e-06,-0.00181499112337495,0.001436905512943957,2025.657609905177,2.537382992293418e-11,39410684277.35255,0.0006777254925810784,52.70925138745486,-52.70925138745486
1.500223417670552e-06,-0.001099087786414625,0.002037154424432386,2025.251227643805,2.538694536472368e-11,39390323870.53331,0.0006933750784490766,52.70997930155151,-52.70997930155151
1.500242549417221e-06,-0.0002033717887167093,0.002300666135202743,2024.844632982153,2.539882134403455e-11,39371905745.33771,0.0005481212924538534,52.72912406852605,-52.72912406852605
1.500261681651855e-06,0.0007202158446558693,0.002183592884017798,2024.437870411257,2.540678740592223e-11,39359561050.48148,0.0002846192822816972,52.7680804315418,-52.7680804315418
1.500280814374473e-06,0.001515035904659713,0.001708532226479441,2024.031020649025,2.540954596102381e-11,39355288029.70031,3.744211269073847e-06,52.82794310844065,-52.82794310844065
1.500299947585094e-06,0.002048171524505283,0.0009604908097072516,2023.624169739748,2.54077976720417e-11,39357996033.65005,-0.00018649093448136,52.90937974254055,-52.90937974254055
1.500319081283735e-06,0.002234322937741288,7.086754350835434e-05,2023.217375963716,2.540384574233795e-11,39364118730.00016,-0.0002265943643426926,53.01271426361026,-53.01271426361026
1.500338215470417e-06,0.002050255912124827,-0.0008070761871254938,2022.810651608761,2.540038286579966e-11,39369485305.92622,-0.0001353638131201203,53.13817807821805,-53.13817807821805
1.500357350145157e-06,0.001537359014930221,-0.001526030617464825,2022.403968725894,2.539911501877448e-11,39371450511.59544,2.843777532989214e-06,53.28619580224952,-53.28619580224952
